class,sex,age,survived
1st,female,29,TRUE
1st,male,0.916700006,TRUE
1st,female,2,FALSE
1st,male,30,FALSE
1st,female,25,FALSE
1st,male,48,TRUE
1st,female,63,TRUE
1st,male,39,FALSE
1st,female,53,TRUE
1st,male,71,FALSE
1st,male,47,FALSE
1st,female,18,TRUE
1st,female,24,TRUE
1st,female,26,TRUE
1st,male,80,TRUE
1st,male,NA,FALSE
1st,male,24,FALSE
1st,female,50,TRUE
1st,female,32,TRUE
1st,male,36,FALSE
1st,male,37,TRUE
1st,female,47,TRUE
1st,male,26,TRUE
1st,female,42,TRUE
1st,female,29,TRUE
1st,male,25,FALSE
1st,male,25,TRUE
1st,female,19,TRUE
1st,female,35,TRUE
1st,male,28,TRUE
1st,male,45,FALSE
1st,male,40,TRUE
1st,female,30,TRUE
1st,female,58,TRUE
1st,male,42,FALSE
1st,female,45,TRUE
1st,female,22,TRUE
1st,male,NA,TRUE
1st,male,41,FALSE
1st,male,48,FALSE
1st,male,NA,FALSE
1st,female,44,TRUE
1st,female,59,TRUE
1st,female,60,TRUE
1st,female,41,TRUE
1st,male,45,FALSE
1st,male,NA,FALSE
1st,male,42,TRUE
1st,female,53,TRUE
1st,male,36,TRUE
1st,female,58,TRUE
1st,male,33,FALSE
1st,male,28,FALSE
1st,male,17,FALSE
1st,male,11,TRUE
1st,female,14,TRUE
1st,male,36,TRUE
1st,female,36,TRUE
1st,male,49,FALSE
1st,female,NA,TRUE
1st,male,36,FALSE
1st,female,76,TRUE
1st,male,46,FALSE
1st,female,47,TRUE
1st,male,27,TRUE
1st,female,33,TRUE
1st,female,36,TRUE
1st,female,30,TRUE
1st,male,45,TRUE
1st,female,NA,TRUE
1st,male,NA,FALSE
1st,male,27,FALSE
1st,female,26,TRUE
1st,female,22,TRUE
1st,male,NA,FALSE
1st,male,47,FALSE
1st,female,39,TRUE
1st,male,37,FALSE
1st,female,64,TRUE
1st,female,55,TRUE
1st,male,NA,FALSE
1st,male,70,FALSE
1st,female,36,TRUE
1st,female,64,TRUE
1st,male,39,FALSE
1st,female,38,TRUE
1st,male,51,TRUE
1st,male,27,TRUE
1st,female,33,TRUE
1st,male,31,FALSE
1st,female,27,TRUE
1st,male,31,TRUE
1st,female,17,TRUE
1st,male,53,TRUE
1st,male,4,TRUE
1st,female,54,TRUE
1st,male,50,FALSE
1st,female,27,TRUE
1st,female,48,TRUE
1st,female,48,TRUE
1st,male,49,TRUE
1st,male,39,FALSE
1st,female,23,TRUE
1st,female,38,TRUE
1st,female,54,TRUE
1st,female,36,FALSE
1st,male,NA,FALSE
1st,female,NA,TRUE
1st,female,NA,TRUE
1st,male,36,TRUE
1st,male,30,FALSE
1st,female,24,TRUE
1st,female,28,TRUE
1st,female,23,TRUE
1st,male,19,FALSE
1st,male,64,FALSE
1st,female,60,TRUE
1st,female,30,TRUE
1st,male,NA,FALSE
1st,male,50,TRUE
1st,male,43,TRUE
1st,female,NA,TRUE
1st,female,22,TRUE
1st,male,60,TRUE
1st,female,48,TRUE
1st,male,NA,FALSE
1st,male,37,FALSE
1st,female,35,TRUE
1st,male,47,FALSE
1st,female,35,TRUE
1st,female,22,TRUE
1st,female,45,TRUE
1st,male,24,FALSE
1st,male,49,TRUE
1st,female,NA,TRUE
1st,male,71,FALSE
1st,male,53,TRUE
1st,female,19,TRUE
1st,male,38,FALSE
1st,female,58,TRUE
1st,male,23,TRUE
1st,female,45,TRUE
1st,male,46,FALSE
1st,male,25,TRUE
1st,female,25,TRUE
1st,male,48,TRUE
1st,female,49,TRUE
1st,male,NA,FALSE
1st,male,45,FALSE
1st,female,35,TRUE
1st,male,40,FALSE
1st,male,27,TRUE
1st,male,NA,TRUE
1st,female,24,TRUE
1st,male,55,FALSE
1st,female,52,TRUE
1st,male,42,FALSE
1st,male,NA,FALSE
1st,male,55,FALSE
1st,female,16,TRUE
1st,female,44,TRUE
1st,female,51,TRUE
1st,male,42,FALSE
1st,female,35,TRUE
1st,male,35,TRUE
1st,male,38,TRUE
1st,male,NA,FALSE
1st,female,35,TRUE
1st,female,38,TRUE
1st,female,50,FALSE
1st,male,49,TRUE
1st,male,46,FALSE
1st,male,50,FALSE
1st,male,32.5,FALSE
1st,male,58,FALSE
1st,male,41,FALSE
1st,female,NA,TRUE
1st,male,42,TRUE
1st,female,45,TRUE
1st,male,NA,FALSE
1st,female,39,TRUE
1st,female,49,TRUE
1st,female,30,TRUE
1st,male,35,TRUE
1st,male,NA,FALSE
1st,male,42,FALSE
1st,female,55,TRUE
1st,female,16,TRUE
1st,female,51,TRUE
1st,male,29,FALSE
1st,female,21,TRUE
1st,male,30,FALSE
1st,female,58,TRUE
1st,female,15,TRUE
1st,male,30,FALSE
1st,female,16,TRUE
1st,male,NA,TRUE
1st,male,19,FALSE
1st,female,18,TRUE
1st,female,24,TRUE
1st,male,46,FALSE
1st,male,54,FALSE
1st,male,36,TRUE
1st,male,28,FALSE
1st,female,NA,TRUE
1st,male,65,FALSE
1st,male,44,FALSE
1st,female,33,TRUE
1st,female,37,TRUE
1st,male,30,TRUE
1st,male,55,FALSE
1st,male,47,FALSE
